Designator,Mid X,Mid Y,Layer,Rotation
U$1,90.03,42.02,Top,0.0
U$2,89.99,52.04,Top,0.0
U$3,142.63,42.19,Top,0.0
U$4,142.58,52.21,Top,0.0
U$5,89.85,94.62,Top,0.0
U$6,89.90,104.38,Top,0.0
U$7,142.49,94.20,Top,0.0
U$8,142.51,104.39,Top,0.0
U$9,34.92,63.26,Top,0.0
U$10,35.28,28.99,Top,0.0
U$11,35.18,41.23,Top,0.0
U$12,35.29,105.09,Top,0.0
U$13,35.23,117.32,Top,0.0
U$14,35.33,93.44,Top,0.0
U$15,35.38,81.93,Top,0.0
U$16,35.04,52.24,Top,0.0
