Designator,Mid X,Mid Y,Layer,Rotation
U$1,37.87,30.11,Top,0.0
U$2,74.91,39.66,Top,0.0
U$3,75.01,16.97,Top,0.0
U$4,37.80,35.09,Top,0.0
U$5,98.45,17.01,Top,0.0
U$6,98.71,39.67,Top,0.0
U$7,37.97,25.11,Top,0.0
U$8,37.96,20.45,Top,0.0
U$9,74.90,42.43,Top,0.0
U$10,37.85,52.68,Top,0.0
U$11,37.75,47.59,Top,0.0
U$12,75.06,65.20,Top,0.0
U$13,37.89,62.90,Top,0.0
U$14,37.83,57.78,Top,0.0
U$15,98.66,42.47,Top,0.0
U$16,98.50,65.20,Top,0.0
